Messages,Start Date,District,Communication Channel,The message contains
vaccine safety. a friend influence me to take the vaccine ,2/1/2022,Western Urban,Word of mouth,information
vaccine not safe because it doesn't cure people,2/1/2022,Western Urban,Word of mouth,misinformation
vaccine kills,2/1/2022,Western Urban,Word of mouth,misinformation
i took the vaccine because the government made it a mandate to access public buildings,2/1/2022,Western Urban,Radio,information
side effects,2/1/2022,Western Urban,Other Social Media,concerns
vaccine has side effects,2/1/2022,Western Urban,Word of mouth,concerns
vaccine kills,2/1/2022,Western Urban,Word of mouth,misinformation
covid-19 is fake,2/1/2022,Western Urban,Public event,misinformation
vaccine kills in 2 years,2/1/2022,Western Urban,WhatsApp,misinformation
covid-19 is not for africans,2/1/2022,Western Urban,Word of mouth,misinformation
vaccine makes people fall sick,2/1/2022,Western Urban,Social mobilization Activities,rumors
vaccine reduce human population,2/1/2022,Western Urban,WhatsApp Facebook,misinformation
the vaccine causes illness,2/1/2022,Western Urban,WhatsApp,misinformation
vaccine affect teen's heart,2/1/2022,Western Urban,Market/Shops/Street,rumors
vaccine is fine,2/1/2022,Western Rural,Radio,information
vaccine is to reduce africa population,2/1/2022,Western Urban,Word of mouth,misinformation
it causes illness,11/5/2021,Western Urban,Word of mouth,rumors
the causes blood clothing,2/1/2022,Western Urban,Other Social Media,rumors
vaccine causes sickness,2/1/2022,Western Urban,Word of mouth,misinformation
vaccine causes head ache ,2/1/2022,Western Urban,Social mobilization Activities,information
vaccine causes irregular menstruation.,2/1/2022,Western Urban,Social mobilization Activities,concerns
vaccine causes head to spin,2/1/2022,Western Urban,Social mobilization Activities,information
vaccine causes serious illness,2/1/2022,Western Urban,Social mobilization Activities,rumors
vaccine causes loss of appetite,2/1/2022,Western Urban,Social mobilization Activities,concerns
vaccine causes health shake up.,2/1/2022,Western Urban,Social mobilization Activities,concerns
vaccine is mark of the beast,2/1/2022,Western Urban,Social mobilization Activities,misinformation
the vaccine reduce human population,2/1/2022,Western Urban,Other Social Media,misinformation
vaccine make me sick,2/1/2022,Western Urban,Word of mouth,concerns
vaccine could alterhumandna,2/1/2022,Western Urban,Market/Shops/Street,rumors
vaccine affect fertility or menstrual cycle,2/1/2022,Western Urban,Market/Shops/Street,misinformation
vaccine cures,2/1/2022,Western Rural,Radio,information
vaccine will make me sick,2/1/2022,Western Urban,Word of mouth,concerns
vaccine could alter human dna,2/1/2022,Western Urban,Public event,rumors
it represents the 666,9/11/2021,Western Urban,Public event,misinformation
vaccine hospitalized people,2/1/2022,Western Urban,Word of mouth,concerns
no vaccine forms,2/1/2022,Western Urban,Market/Shops/Street,concerns
vaccine does not kill africans,2/1/2022,Western Urban,Word of mouth,misinformation
mark of the beast,2/1/2022,Western Urban,Religious event Public event,rumors
vaccine cause erection in man,2/1/2022,Western Urban,Political events Social mobilization Activities Word of mouth,concerns
am not sick so i don't need covid-19 vaccine,2/1/2022,Western Urban,Word of mouth Social mobilization Activities,misinformation
fear of sickness after vaccination,2/1/2022,Western Urban,Public event Social mobilization Activities,concerns
a friend reported someone dead after taken vaccine,2/1/2022,Western Urban,Word of mouth Social mobilization Activities,misinformation
fear of blindness,2/1/2022,Western Urban,Social mobilization Activities Word of mouth,concerns
fear of injection and prefer tablet,2/1/2022,Western Urban,Social mobilization Activities Word of mouth,concerns
covid-19 is a man made,2/1/2022,Western Urban,Social mobilization Activities Word of mouth,rumors
vaccine causes bleeding on young women,2/1/2022,Western Urban,Word of mouth,rumors
to reduce the population,2/1/2022,Western Urban,Market/Shops/Street,misinformation
not to talk,2/1/2022,Western Urban,Word of mouth,misinformation
not to see,2/1/2022,Western Urban,Word of mouth,misinformation
it causes the death of children,2/1/2022,Western Urban,Word of mouth,misinformation
to reduce the population,2/1/2022,Western Urban,Word of mouth,misinformation
the side effect can lead to death,2/1/2022,Western Urban,Market/Shops/Street,concerns
the vaccine has side effect .,2/1/2022,Western Urban,Market/Shops/Street,concerns
vaccine is a global economy  fight,9/12/2021,Western Urban,Other Social Media,concerns
it cure malaria and typhoid,2/1/2022,Western Urban,Word of mouth,rumors
the vaccine cure other illness,2/1/2022,Western Urban,Word of mouth,misinformation
vaccine causes inching on young men,2/1/2022,Western Urban,Word of mouth,rumors
no covid-19 in country,2/1/2022,Western Urban,Word of mouth,misinformation
vaccine causes you to sick,2/1/2022,Western Urban,Market/Shops/Street,rumors
vaccine build the immune system against the virus,2/1/2022,Western Urban,Market/Shops/Street,information
vaccine kill after two years,2/1/2022,Western Urban,WhatsApp,rumors
more covid-19 awareness raising is needed,2/1/2022,Western Urban,Other,concerns
strict measures needed at border point,2/1/2022,Western Urban,Word of mouth,concerns
the johnson and johnson vaccines has an effect on people,2/1/2022,Western Urban,Word of mouth,concerns
more covid-19 community sensitization needed in communities,2/1/2022,Western Urban,Word of mouth,concerns
vaccines cause death,2/1/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine kill people,2/1/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccine kills,2/1/2022,Western Urban,Market/Shops/Street,misinformation
covid-19 vaccine can cause swelling of the hand,2/1/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine can cause weakness,2/1/2022,Western Urban,Word of mouth,concerns
vaccine release is too early,2/1/2022,Western Urban,Social mobilization Activities Word of mouth,concerns
vaccine causes early death,2/1/2022,Western Urban,Word of mouth,misinformation
safety of the covid vaccine,2/1/2022,Western Rural,Word of mouth,concerns
covid 19 not exist,2/1/2022,Western Rural,Market/Shops/Street,misinformation
covid vaccine means something else,2/1/2022,Western Rural,Word of mouth,misinformation
vaccine is politics business,2/2/2022,Western Urban,Word of mouth,misinformation
the vaccine causes high blood pressure,2/2/2022,Western Urban,WhatsApp,rumors
the vaccine causes bleeding,2/2/2022,Western Urban,Market/Shops/Street,rumors
vaccine is unsafe for pregnant woman,2/2/2022,Western Urban,Market/Shops/Street,rumors
the vaccine is not safe,2/2/2022,Western Urban,Word of mouth,misinformation
it all about money making ,2/2/2022,Western Urban,Flyers and printed materials Other Social Media,rumors
the vaccine make him last longer during sex,2/2/2022,Western Urban,Word of mouth,concerns
is the vaccine accessible to everyone ,2/2/2022,Western Urban,Social mobilization Activities,concerns
the vaccines were developed quickly so they are not safe for human,2/2/2022,Western Urban,Word of mouth,rumors
the vaccine causes heart cancer,2/2/2022,Western Urban,Word of mouth,misinformation
the vaccine causes blood clot,2/2/2022,Western Urban,Market/Shops/Street,rumors
i am healthy i do not need vaccine,2/2/2022,Western Urban,Word of mouth,concerns
future complications from vaccine,2/2/2022,Western Urban,Word of mouth,rumors
"no covid, a way for government to eat money",2/2/2022,Western Urban,WhatsApp,misinformation
a ploy by white people to kill blacks,2/2/2022,Western Urban,Word of mouth,misinformation
the vaccine is safe and effective,2/2/2022,Western Urban,Social mobilization Activities,information
the vaccine is safe,2/2/2022,Western Urban,Social mobilization Activities,information
the vaccine is not safe,7/1/2021,Western Urban,WhatsApp Facebook Word of mouth,misinformation
"no vaccine,no job",2/2/2022,Western Urban,Word of mouth,concerns
if the vaccine is safe why initially it was restricted for certain age group.,2/2/2022,Western Urban,Word of mouth,concerns
vaccine is not useful to him,2/2/2022,Western Urban,Word of mouth,misinformation
vaccine kills,2/2/2022,Western Urban,Word of mouth,misinformation
vaccine causes death,2/2/2022,Western Urban,Word of mouth,misinformation
the vaccine is safe.,2/2/2022,Western Urban,Word of mouth,information
vaccine causes sickness,2/2/2022,Western Urban,Word of mouth,rumors
there is no who can lead me to take vaccine,2/2/2022,Western Urban,Word of mouth,concerns
thr side effects cause by the vaccind can lead to death,2/2/2022,Western Urban,Word of mouth,concerns
the vaccine cause illness,2/2/2022,Western Urban,Word of mouth,misinformation
vaccine is political,2/2/2022,Western Urban,Word of mouth,misinformation
no vaccine screening form in almost all vaccine site,2/2/2022,Western Urban,Public event Social mobilization Activities,concerns
vaccine kills,2/2/2022,Western Urban,Word of mouth,misinformation
the vaccine enhance sexual urge for men,2/2/2022,Western Urban,Word of mouth,rumors
vaccine is mark of the devil,2/2/2022,Western Urban,Religious event,misinformation
vaccine not effective as it doesn't cure,2/2/2022,Western Urban,Word of mouth,misinformation
reduction of african,2/2/2022,Western Urban,Word of mouth,rumors
vaccine aim of tracking humans and dictating their actions,2/2/2022,Western Urban,Market/Shops/Street,misinformation
vaccine produced for the benefits of the manufacturers to gain money,2/2/2022,Western Urban,Market/Shops/Street,misinformation
vaccine  have reactions that had cause complications leading to death,2/2/2022,Western Urban,Market/Shops/Street,concerns
vaccine is fake,2/2/2022,Western Urban,Word of mouth,misinformation
vaccine causes heart complications and lead to heart problem,2/2/2022,Western Urban,Market/Shops/Street,misinformation
to kill the opposition party,2/2/2022,Western Urban,WhatsApp,misinformation
fear of the vaccine,2/2/2022,Western Urban,Social mobilization Activities,concerns
fear of the vaccine,2/2/2022,Western Urban,Social mobilization Activities,concerns
the vaccine cut down population growth,2/2/2022,Western Urban,Word of mouth,misinformation
the vaccine cut down population growth,2/2/2022,Western Urban,Word of mouth,misinformation
vaccine causes sickness and weakness,2/2/2022,Western Urban,Market/Shops/Street,misinformation
economic gains,2/2/2022,Western Urban,Word of mouth,misinformation
there is no covid-19 in sierra leone,2/2/2022,Western Urban,Social mobilization Activities,misinformation
there should be compliance in covid-19 fight,2/2/2022,Western Urban,Word of mouth,concerns
who are eligible to take the vaccines,2/2/2022,Western Urban,Word of mouth,concerns
who are and who should have the vaccine bracelet,2/2/2022,Western Urban,Word of mouth,concerns
vaccination card needed,2/2/2022,Western Urban,Word of mouth,concerns
i heard that the vaccine does not fit everyone so i am scared to take the vaccine,10/1/2021,Western Urban,WhatsApp,concerns
i need someone who can sensitize me to take vaccine,2/2/2022,Western Urban,Other,concerns
i need someone who can sensitize/confuse me to take the vaccine,2/2/2022,Western Urban,Other,concerns
vaccines improve our immune system,2/2/2022,Western Urban,Word of mouth,concerns
without food we need to take the vaccine,2/2/2022,Western Urban,Word of mouth,concerns
what are the benefits of taking the vaccines,2/2/2022,Western Urban,Word of mouth,information
to reduced birth rate,2/2/2022,Western Urban,Word of mouth,misinformation
vaccine safety: i took the vaccine because i have been seeing people taking the vaccine and nothing is happen to them.,2/2/2022,Western Urban,Word of mouth,information
i took both doses of the vaccine because i heard that people with underlying conditions are vulnerable to covid-19.,2/2/2022,Western Urban,Word of mouth,information
i i took the vaccine because my office force me to take the vaccine.,2/2/2022,Western Urban,Word of mouth,concerns
